X,Y,OBJECTID,Tyyp,Rataste_arv,Asukoht,Staatus,Linnaosa,GlobalID
659812.717299998,6472136.5304,6468,4,20,79 E-kaubamaja,1,4,{2FA3BB58-B903-4579-A422-993872536EC7}
657050.888400003,6474396.5661,6470,4,20,76 Tartu Maja,1,16,{AE8DAF75-298A-4DA5-B6D4-18B20BAF0B16}
660685.145300001,6474577.5707,6473,4,20,72 Paju,1,17,{50FC42DE-D278-4E75-9FFA-C58C281F2D15}
660308.375399999,6474162.8195,6810,4,16,10 Turusild,1,1,{69A09375-0958-4619-857D-68F2152754A6}
661007.772299998,6473686.5776,6811,4,18,1 Kalda tee,1,1,{E7A3E9E7-1B25-472F-8CDC-6C5F6E10376B}
661676.880599998,6473470.6665,6812,4,15,2 Kaunase puiestee,1,1,{91444BDC-15FA-4E25-BD6B-F6F889978FC9}
661907.541699998,6473288.3799,6813,4,12,3 Annelinna keskus,1,1,{7E958DFB-F339-4973-B2BF-79E065A1E6C7}
661997.203199998,6473904.5983,6815,4,8,6 Annelinna Gümnaasium,1,1,{F060FB07-42AE-48E6-BF37-276A8598C1A6}
661681.835500002,6473999.8524,6816,4,16,7 Anne,1,1,{63250E82-2DAE-4416-BF75-2C573DC12A9C}
660957.991700001,6474130.485,6817,4,12,8 Anne saun,1,1,{5A479179-7B42-4232-B382-2EBE898B1B0D}
661155.281199999,6474733.6536,6819,4,9,11 Põhja puiestee,1,3,{EDECD0FD-B39A-4DF9-8705-1B4D19224D34}
659519.283100002,6474668.9604,6820,4,15,12 Roosi,1,17,{BBCE9169-58F5-4E89-87DA-A59849A36D1E}
660391.372599997,6475903.881,6821,4,8,13 ERM,1,7,{A43780A0-E9B1-43DA-B0E2-918FBD4AA004}
659119.059199996,6476697.436,6822,4,12,14 Vahi,1,7,{39BE1699-98B0-4802-B3CC-C9B254E8BEFD}
659626.935500003,6475586.6651,6823,4,9,15 Orava,1,7,{1915CB25-2598-4289-84C9-F6D8E6D39B1E}
659132.370800003,6474577.8229,6824,4,20,16 Rüütli,1,5,{577A2057-FB2E-4010-B8C9-DED2C328718C}
658728.295599997,6474523.1945,6825,4,9,17 K.E. von Baeri,1,5,{5CBDD65A-EA74-446B-BD65-CB760E690B98}
658416.965000004,6474148.5067,6826,4,9,18 Näituse,1,13,{6858CBAE-44C7-420D-8014-332CE3F7B00F}
657590.341300003,6473255.411,6827,4,9,19 Tulbi,1,16,{8F6104AD-6EF2-47C5-88B0-112508C34E78}
656967.501699999,6473872.4803,6828,4,11,20 Kannikese,1,16,{2FDD570C-69D5-49AF-A295-F277F7865CCF}
657623.829099998,6472739.9893,6829,4,20,21 W.Ostwaldi,1,6,{EE691180-FA28-4E15-A6C7-8D37EA0CD63F}
657438.423900001,6472184.9805,6830,4,9,22 Raja,1,6,{9049C36B-E357-4BE0-B7FD-F7A72A43D629}
657116.262500003,6471248.206,6831,4,11,23 Ränilinn,1,10,{DFD9E97A-DABC-4863-9D59-49FD9752D3CE}
657836.669100001,6471362.2158,6832,4,10,24 Tamme pst,1,12,{E14B6E16-83CF-427F-839D-A50E46CC77F1}
658546.166699998,6471471.2122,6833,4,10,25 Viie tee rist,1,12,{9A88B6EE-08E7-4A0D-9CA8-20212C76627B}
658911.685199998,6470455.6613,6834,4,5,26 Postimaja,1,8,{F970E1F4-2BE7-455B-86F5-28513021EC37}
659216.800099999,6472635.0415,6835,4,11,27 Sõbra,1,14,{85D0580C-1122-49B9-BB96-C562D5390B15}
658662.348399997,6472875.5948,6836,4,12,28 Tamme staadion,1,12,{6041536F-FE7C-4C6D-B8CA-E820E10BF1F3}
658369.292999998,6473627.3819,6837,4,21,29 Raudteejaam,1,14,{F76A8B0F-EEC6-4D59-99A9-C76F2913E59A}
658846.035700001,6473558.6819,6838,4,21,Vanemuise park,1,5,{B8DDB15F-13F9-43E7-8344-DBE9A9042DFB}
659211.423699997,6473936.652,6839,4,21,31 TÜ raamatukogu,1,5,{DADDA7BF-5050-4305-AA99-1B3CAB14ACEC}
659611.818499997,6473868.4957,6840,4,8,Aleksandri,1,5,{DCF76C2E-8DFE-4913-BD36-00533AB4E984}
659958.5889,6473793.1896,6841,4,18,33 Aura veekeskus,1,5,{70F5D209-0707-438A-82EC-7196E29AA653}
660300.391599998,6473126.6703,6842,4,10,34 Sõpruse sild,1,4,{1B902E21-959D-4682-9801-8856F85CC0A6}
659544.915799998,6473294.3374,6843,4,12,35 Pargi,1,5,{FF290B7D-F67E-4A47-BFC5-3708F0E9BF9E}
659698.824500002,6472845.704,6844,4,9,36 Kuu,1,4,{3EFE20BF-1113-4E29-A94B-4949F91E257A}
659397.799999997,6470963.5556,6845,4,11,37 Karete,1,8,{F39B6E03-B6A0-4F3A-8EC4-43799C35D085}
657595.293099999,6475046.4018,6846,4,16,38 Torni,1,13,{4D9BCC07-CC1E-47C5-930E-D21624F47C44}
658233.602399997,6475271.5919,6847,4,9,39 Tähtvere spordipark,1,13,{C7B4DE62-1AA3-455A-A5D5-52FEC38CDB2A}
658842.776199996,6473227.8182,6848,4,11,40 Aparaaditehas,1,14,{978B9D19-EA6F-4827-848D-3554FE4D2524}
659511.991099998,6474437.5182,6849,4,16,41 Ülejõe park,1,17,{044B0A9D-4C69-4DFB-9FF4-136AFF04D9DB}
658394.862800002,6474662.9403,6850,4,11,42 J. Hurda,1,13,{68A41C8A-955E-4831-ADC8-39961823FA46}
659455.229999997,6474090.8153,6851,4,26,43 Uueturu,1,5,{7412FEF5-476E-4DEF-A074-605FC05931FF}
660068.4529,6474735.3146,6852,4,14,44 Raatuse kool,1,17,{9549FB33-1A02-4DBE-A08F-0746F447223B}
659708.090800002,6474008.3923,6853,4,12,45 Soola,1,5,{843EBC03-0451-47D2-B57B-A47B959B781D}
659859.1074,6473980.8529,6854,4,7,46 AHHAA,1,5,{9858BB22-1E41-428C-8689-2C0F412E7A6C}
658868.909699999,6474216.7808,6855,4,11,47 Lossi,1,5,{516B4D79-DE12-46F5-B237-C96BB12F222B}
658165.423,6472717.735,6856,4,11,48 Kaare,1,12,{56A82F2D-53EB-453F-AB23-F76EA076E4D1}
659793.8719,6474597.6074,6857,4,20,49 Raatuse,1,17,{7753246E-580D-4F02-94A3-64C4DBDE70BF}
657533.846199997,6475307.5364,6858,4,17,50 EMÜ spordihoone,1,13,{23003098-BA60-4ACE-9B67-92CEAE6AA6D8}
656783.057999998,6471757.8915,6859,4,10,51 Lõunakeskus,1,10,{BD5EAF23-A99F-460D-826F-EE8F23AC2E88}
659277.549900003,6471787.891,6860,4,13,Rahu,1,8,{2D5A27D3-9301-43D2-9263-1B2DEE47BB06}
657376.853299998,6472469.2492,6861,4,16,53 Tamme gümnaasium,1,6,{42763839-C62B-49B3-AEDC-7ADE1C9202C2}
